,id,tweet,stance
0,0,"Review key changes and clarifications in the 2018 #immunization schedules, including changes to polio, flu, MMR and shingles #vaccine recommendations. @Medscape & @CDCgovhttps://www.medscape.com/viewarticle/892627?src=par_cdc_stm_mscpedt&faf=1 …",N
1,1,Canadian researchers have developed preventive #vaccine for potentially deadly bacteria that can cause #meningitis in children http://ow.ly/YN6K30iUQXs pic.twitter.com/dDObaDVA99,A
2,2,No safe Coffee and forced #Vaccine tyranny?? #California officially my least favorite place. #BoughtOff #Facepalm #SMH #SaidNoMother #SaidNoFather #EpicFailpic.twitter.com/SPDKLd2S61,A
3,3,"Poor immunogenicity, not #vaccine strain egg adaptation, may explain the low #H3N2 #influenza vaccine effectiveness in 2012-13https://academic.oup.com/cid/advance-article/doi/10.1093/cid/ciy097/4846904 …",F
4,4,It's an old #antivaxser trope and already demonstrated to be invalid.  It's telling that you can't refute Ralph's points.  Your various #HPV #vaccine errors have been corrected:  http://sites.uchastings.edu/lawandvaccines/2018/03/09/correcting-errors-about-the-risk-of-hpv-and-the-hpv-vaccine/ …,F
5,5,"Everyone knows the story of cowpox-surviving milkmaids inspiring Edward Jenner to develop a #smallpox #vaccine, but is it true? @NEJMhttp://www.nejm.org/doi/full/10.1056/NEJMp1715349 …",N
6,6,"If #vaccines are safe & effective, they sh/speak for selves. It’s involvement of #politicians #laws #epidemiologists #socialjustice warriors that causes/perpetuates #vaccine debate, imo.",A
7,7,"Interim Estimates of 2017–18 Seasonal Influenza #Vaccine Effectiveness — United States, February 2018  
https://www.cdc.gov/mmwr/volumes/67/wr/mm6706a2.htm?s_cid=mm6706a2_w … read  via the @CDCgov .  #Flu",N
8,8,"Complex regional pain syndrome by #vaccine A case of complex
regional pain syndrome after vaccination of influenza A(H1N1).pdf https://pdfs.semanticscholar.org/fdfa/a0c915cc3f303df67075a05ad56f70be8a73.pdf …",A
9,9,"Okay. I absolutely cannot fathom the logic behind the people conflating taking away abortion right by using some partial birth nonsense also being the same people to say ""it's my body my right"" when it comes to vaccinations.  
#hypocrisy #abortion #VaxXed pic.twitter.com/GLZvVf4pMfOkay. I absolutely cannot fathom the logic behind the people conflating taking away abortion right by using some partial birth nonsense also being the same people to say ""it's my body my right"" when it comes to vaccinations.  
#hypocrisy #abortion #VaxXed pic.twitter.com/GLZvVf4pMf",F
10,10,#Vaccine nerve damage and constant pain https://www.vaccineinjuryhelpcenter.com/complex-regional-pain-syndrome-crps/ …,A
11,11,"I don't see anyone addressing what I see are vital and legitimate questions regarding trust in the Govt.
 #mandatoryvaccinations #vaccinations #vaccines #antivaxx #VaxXed #disease #diseasesI don't see anyone addressing what I see are vital and legi",F
12,12,Population Immunity: Administering #Security Vaccines. David Rimmer discusses how increasing #awareness amongst your staff can enable “herd immunity” against security threats. http://ow.ly/VZ0P30iSyL5  @dvrmmr #vaccine #immunity #infosecpic.twitter.com/Tt8W571EiB,F
13,13,"For the first time in history, the newly @WHO prequalified typhoid conjugate #vaccine has been used to protect a child in Africa against #typhoid. Expect more history-making as we #TakeOnTyphoid! http://www.coalitionagainsttyphoid.org/trial-kicks-off-in-malawi-first-child-vaccinated-with-typhoid-conjugate-vaccine-in-africa/ …pic.twitter.com/atQsl4trzZ",F
14,14,Just saw UNCLE GRANDPA Cartoon where they tricked him into a doctors office then held him down to inject MMR - INSANE INDOCTRINATION  http://tinyURL.com/Vax-Safe1  #vaxxed #vaccineswork #ThinkBabies #pregnant #baby #ObGyn #maternity #Untested,F
15,15,"Does he even knows what is #eradication means?#World is still struggling to eradicate one potential disease, which has effective #vaccine & he is talking about a #disease which doesn’t have vaccine & #treatment(part of #control) is minimum 6 months. Does he have educated advisors https://twitter.com/fitzgab/status/973646943183187969 …",A
16,16,"#vaxxed
#antiVax

Beware. #Vaccines hurt you, even kill you.#vaxxed
#antiVax

Beware. #Vaccines hurt you, even kill you.#vaxxed
#antiVax

Beware. #Vaccines hurt you, even kill you.#vaxxed
#antiVax

Beware. #Vaccines hurt you, even kill you.#vaxxed
#antiVax

Beware. #Vaccines hurt you, even kill you.",N
17,17,Study: #Mumps Resurgence Due to Waning #Vaccine Protection in Adults http://bit.ly/2G4ehW8 pic.twitter.com/aBqMKpcExR,F
18,18,".@uwvetmed's Yoshihiro Kawaoka, world expert on ebola and the flu, moves us one step closer to confronting #Ebola with a whole-virus #vaccine.

Join scientists at @UWWaismanCenter Feb. 27 to discuss the new project  http://bit.ly/2opPK6p pic.twitter.com/KB6fGmU6rm",F
19,19,"Anti-vaxxers are keen to portray @snopes as unreliable.
Good to see this from a hugely reliable source of information about #sharks
#Vaccine https://twitter.com/WhySharksMatter/status/980482787290443776 …",F
20,20,Flu Shots 101: What You Need to Know http://ow.ly/uosM30ixTWV  #flu #vaccine,N
21,21,.@Merck still working on #Ebola #vaccine - can’t take eyes off the goal just because crisis passes. #healthsecurity #GHSAgenda #innovate4health,N
22,22,A Cancer 'Vaccine' Cured 97% of Tumors in Mice. What's That Mean for People?  http://ow.ly/9Ldr30jfX5G  #health #medical #vaccine #cancer,F
23,23,"@dwhorton @CATeacherMom @realjonlovitz 3 of 4 adults r considered #unvaxxed He is correct. There shud b massive outbreaks, but NOT",A
24,24,Factors contributing to increased susceptibility to infectious disease: #vaccine #fxmedhttp://ow.ly/pefR30eStqB ,N
